onset	duration	text	kommentar	loc_besch	w_class	function	grammar
0.176	0.2	Wartebank		setting_rec		NN	
0.376	0.5	blickt			VVFIN		
0.876	0.4	Forrest		mname	NE		
1.276	0.4	traurig			ADJD		
1.676	0.2	vor			APPR		
1.876	0.1	sich			PRF		
1.976	0.2	hin			ADV		
2.176	2.1	die			ART		
4.276	0.6	Krankenschwester		female	NN		
4.876	0.2	sieht			VVFIN		
5.076	0.5	ungerührt			ADJD		
5.576	0.2	in			APPR		
5.776	0.2	ihre			PPOSAT		
5.976	0.5	Zeitschrift		object	NN		
6.476	3.9	die			ART		
10.376	0.2	Schwester		female	NN		
10.576	0.5	blickt			VVFIN		
11.076	0.1	hoch			PTKVZ		
11.176	3.4	Forrest		mname	NE		
14.576	0.2	und			KON		
14.776	0.2	Jenny		fname	NE		
14.976	0.2	auf			APPR		
15.176	0.2	einem			ART		
15.376	0.2	Weg		setting_new		NN	
15.576	0.5	etwas			PIAT		
16.076	0.4	trifft#ihn	###		PPER		
16.476	0.0	am			APPRART		
16.476	0.2	Kopf		head	NN		
16.676	1.6	Forrest		mname	NE		
18.276	0.3	kippt			VVFIN		
18.576	0.1	um			PTKVZ		
18.676	17.4	die			ART		
36.076	0.1	drei		males	CARD		
36.176	0.4	jagen			VVFIN		
36.576	0.1	an			APPR		
36.676	0.3	Jenny		fname	NE		
36.976	0.2	vorbei			PTKVZ		
37.176	3.8	Er			PPER		
40.976	0.2	stakst			VVFIN		
41.176	0.4	den			ART		
41.576	0.1	Weg		geo	NN		
41.676	0.3	entlang			PTKVZ		
44.076	1.7	Forrest		mname	NE		
45.776	0.2	wird			VAFIN		
45.976	0.3	schneller			ADJD		
46.276	1.3	Jungs		males	NN		
47.576	0.3	auf			APPR		
47.876	0.2	ihren			PPOSAT		
48.076	0.3	Rädern		object	NN		
48.376	0.2	holen			VVFIN		
48.576	0.4	langsam			ADJD		
48.976	0.1	auf			PTKVZ		
49.076	2.5	behindert			VVPP		
51.576	0.2	durch			APPR		
51.776	0.2	die			ART		
51.976	0.3	Schienen		object	NN		
52.276	0.4	hastet			VVFIN		
52.676	0.2	Forrest		mname	NE		
52.876	0.5	weiter			PTKVZ		
53.376	0.4	in			APPR		
53.776	0.5	Zeitlupe			NN		
54.276	0.9	mit			APPR		
55.176	0.2	seinen			PPOSAT		
55.376	0.4	steifen			ADJA		
55.776	0.3	Beinen		bodypart	NN		
56.076	0.2	macht			VVFIN		
56.276	0.1	er			PPER		
56.376	0.5	ungelenke			ADJA		
56.876	0.4	Schritte			NN		
57.276	3.6	die			ART		
60.876	0.5	Verfolger		males	NN		
61.376	0.4	treten			VVFIN		
61.776	0.4	verbissen			ADJD		
62.176	0.1	in			APPR		
62.276	0.1	die			ART		
62.376	0.4	Pedale		object	NN		
62.776	0.4	gehetzt			VVPP		
63.176	0.3	sieht			VVFIN		
63.476	0.2	sich			PRF		
63.676	0.1	Forrest		mname	NE		
63.776	0.4	zu			APPR		
64.176	0.2	ihnen			PPER		
64.376	0.1	um			PTKVZ		
64.476	0.6	er		male	PPER		
65.076	0.0	hat			VAFIN		
65.076	0.3	eine			ART		
65.376	0.2	Platzwunde			NN		
65.576	0.4	an			APPR		
65.976	0.0	der			ART		
65.976	0.2	Stirn		face	NN		
67.676	0.4	im			APPRART		
68.076	0.4	Laufen			NN		
68.476	0.3	beginnt			VVFIN		
68.776	0.3	Forrest		mname	NE		
69.076	0.6	plötzlich			ADJD		
69.676	0.2	die			ART		
69.876	0.3	Knie		bodypart	NN		
70.176	0.3	zu			PTKZU		
70.476	0.1	beugen			VVINF		
70.576	1.5	die			ART		
72.076	0.5	Halterungen		object	NN		
72.576	0.2	der			ART		
72.776	0.3	Schienen		object	NN		
73.076	0.4	reißen			VVFIN		
73.476	0.1	ab			PTKVZ		
73.576	1.6	Einzelteile		object	NN		
75.176	0.3	fliegen			VVFIN		
75.476	0.2	durch			APPR		
75.676	0.0	die			ART		
75.676	0.1	Luft			NN		
78.876	2.2	die			ART		
81.076	0.4	letzten			ADJA		
81.476	0.1	Teile			NN		
81.576	0.8	fallen			VVFIN		
82.376	0.1	ab			PTKVZ		
84.076	1.2	Forrest#starrt	###		VVFIN		
85.276	0.6	entschlossen			ADJD		
85.876	0.1	nach			APPR		
85.976	0.3	vorn			ADV		
86.276	0.3	die			ART		
86.576	0.3	Jungs		males	NN		
86.876	0.3	fahren			VVFIN		
87.176	0.1	durch			APPR		
87.276	0.1	die			ART		
87.376	0.3	Reste			NN		
87.676	0.2	der			ART		
87.876	0.3	Schienen		object	NN		
90.276	3.6	auf			APPR		
93.876	0.2	der			ART		
94.076	0.2	Wartebank		setting_rec		NN	
94.276	3.3	die			ART		
97.576	0.7	Krankenschwester		female	NN		
98.276	0.2	nickt			VVFIN		
98.476	0.4	ohne			APPR		
98.876	0.1	von			APPR		
98.976	0.2	ihrer			PPOSAT		
99.176	0.3	Zeitschrift		object	NN		
99.476	0.8	aufzuschauen			VVINF		
100.276	7.2	die			ART		
107.476	0.2	drei			CARD		
107.676	0.3	Jungs		setting_rec		NN	
107.976	0.4	stoppen			VVFIN		
108.376	0.8	verblüfft			VVPP		
109.176	0.2	sehen			VVFIN		
109.376	0.1	sie			PPER		
109.476	0.1	dem			ART		
109.576	0.4	davon			PROAV		
109.976	0.6	rasenden			ADJA		
110.576	0.4	Forrest		mname	NE		
110.976	0.2	nach			APPR		
111.176	0.6	der			ART		
111.776	0.2	eine			ART		
111.976	0.4	Staubwolke			NN		
112.376	0.6	hinter			APPR		
112.976	0.2	sich			PRF		
113.176	0.4	herzieht			VVFIN		
113.576	2.2	Forrest#biegt	###		VVFIN		
115.776	0.3	vom			APPRART		
116.076	0.2	Weg		geo	NN		
116.276	0.2	ab			PTKVZ		
116.476	0.3	und			KON		
116.776	0.2	flitzt			VVFIN		
116.976	0.2	über			APPR		
117.176	0.2	eine			ART		
117.376	0.4	große			ADJA		
117.776	0.1	Wiese		geo	NN		
117.876	0.4	auf			APPR		
118.276	0.2	eine			ART		
118.476	0.3	Baumreihe		geo	NN		
118.776	0.4	zu			PTKVZ		
121.076	0.5	und			KON		
121.576	0.5	überquert			VVFIN		
122.076	0.1	eine			ART		
122.176	0.4	kleine			ADJA		
122.576	0.2	Brücke		geo	NN		
122.776	0.2	auf			APPR		
122.976	0.2	der			ART		
123.176	0.3	Angler		males	NN		
123.476	0.3	sitzen			VVINF		
127.676	0.4	er			PPER		
128.076	0.1	rennt			VVFIN		
128.176	0.2	an			APPR		
128.376	0.6	Sträflingen		males	NN		
128.976	0.3	vorbei			ADV		
129.276	0.2	die			ART		
129.476	0.1	den			ART		
129.576	0.5	Grünstreifen		geo	NN		
130.076	0.3	am			APPRART		
130.376	0.7	Straßenrand		geo	NN		
131.076	0.5	bearbeiten			VVFIN		
131.576	1.1	in			APPR		
132.676	0.3	Greenbo#w		setting_rec	NE		
132.976	0.5	jagt			VVPP		
133.476	1.0	er#am#Friseurladen		geo	NN		
134.476	0.2	vorbei			PTKVZ		
134.676	0.3	und			KON		
134.976	0.3	wirbelt			VVFIN		
135.276	0.2	dabei			PROAV		
135.476	0.2	eine			ART		
135.676	0.3	Zeitung		object	NN		
135.976	0.2	hoch			ADJD		
136.176	0.5	drei			CARD		
136.676	0.3	Männer		males	NN		
136.976	0.1	im			APPRART		
137.076	0.3	Laden		roomgeo	NN		
137.376	0.4	glotzen			VVFIN		
137.776	0.1	ihm			PPER		
137.876	0.2	nach			PTKVZ		
138.076	3.5	Forrest		mname	NE		
141.576	0.5	rast			VVFIN		
142.076	0.1	auf			APPR		
142.176	0.2	ein			ART		
142.376	0.3	kleines			ADJA		
142.676	0.3	ärmliches			ADJA		
142.976	0.7	Farmhaus		setting_new		NN	
143.676	0.3	zu			PTKVZ		
143.976	23.2	er			PPER		
167.176	0.5	entdeckt			VVFIN		
167.676	0.1	Jenny		fname	NE		
167.776	0.1	die			ART		
167.876	0.2	bei			APPR		
168.076	0.2	einem			ART		
168.276	0.6	Tabakfeld		geo	NN		
168.876	0.2	steht			VVFIN		
169.076	11.8	sie			PPER		
180.876	0.2	zieht			VVFIN		
181.076	0.4	Forrest		mname	NE		
181.476	0.2	ins			APPRART		
181.676	0.2	Feld		geo	NN		
187.676	0.2	ihr			PPOSAT		
187.876	0.2	Vater		male	NN		
188.076	0.2	stapft			VVFIN		
188.276	0.3	durch			APPR		
188.576	0.1	die			ART		
188.676	0.4	brusthohen			ADJA		
189.076	0.5	Pflanzen		object	NN		
189.576	1.8	in			APPR		
191.376	0.3	seiner			PPOSAT		
191.676	0.1	Hand		bodypart	NN		
191.776	0.2	ein			ART		
191.976	0.4	Flachmann		object	NN		
192.376	0.5	Jenny		fname	NE		
192.876	0.2	zieht			VVFIN		
193.076	0.4	Forrest		mname	NE		
193.476	0.1	ein			ART		
193.576	0.3	hohes			ADJA		
193.876	0.5	Maisfeld		geo	NN		
194.376	4.0	zwischen			APPR		
198.376	0.1	den			ART		
198.476	0.2	Pflanzen			NN		
198.676	0.5	knien			VVFIN		
199.176	0.1	sich			PRF		
199.276	0.2	die			ART		
199.476	0.3	Kinder		persons	NN		
199.776	0.2	hin			PTKVZ		
199.976	46.0	die			ART		
245.976	0.3	zwei			CARD		
246.276	0.0	im			APPRART		
246.276	0.2	Bett		setting_new		NN	
247.676	12.7	etwas			ADV		
260.376	0.2	trifft			VVFIN		
260.576	0.1	ihn			PPER		
260.676	3.0	Jenny		fname	NE		
263.676	0.2	als			APPR		
263.876	0.3	Teenager		setting_new		NN	
264.176	5.6	der			ART		
269.776	0.3	Werfer		male	NN		
270.076	0.3	springt			VVFIN		
270.376	0.1	zu			APPR		
270.476	0.1	den			ART		
270.576	0.2	zwei			CARD		
270.776	0.2	anderen			PIS		
270.976	0.3	auf			APPR		
271.276	0.2	einen			ART		
271.476	0.3	Pickup		object	NN		
271.776	19.4	der			ART		
291.176	0.3	Pickup		object	NN		
291.476	0.3	fährt			VVFIN		
291.776	0.2	dicht			ADJD		
291.976	0.5	hinter			APPR		
292.476	0.2	Forrest		mname	NE		
292.676	0.4	der			PDS		
293.076	0.3	biegt			VVFIN		
293.376	0.3	wieder			ADV		
293.676	0.1	auf			APPR		
293.776	0.2	die			ART		
293.976	0.2	Wiese		geo	NN		
294.176	0.9	der			ART		
295.076	0.3	Pickup		object	NN		
295.376	0.5	hinterher			PTKVZ		
298.376	7.3	er			PPER		
305.676	0.2	springt			VVFIN		
305.876	0.2	über			APPR		
306.076	0.2	einen			ART		
306.276	0.1	Zaun		geo	NN		
306.376	0.3	auf			APPR		
306.676	1.0	der			ART		
307.676	0.3	Wartebank		setting_rec		NN	
307.976	8.1	Forrest		mname	NE		
316.076	0.3	rennt			VVFIN		
316.376	0.1	auf			APPR		
316.476	0.2	einer			ART		
316.676	0.3	Straße		setting_new		NN	
316.976	0.3	der			ART		
317.276	0.3	Pickup		object	NE		
317.576	0.4	folgt			VVFIN		
317.976	0.1	ihm			PPER		
324.776	1.7	Forrest		mname	NE		
326.476	0.2	biegt#ab	###		PTKVZ		
326.676	0.6	und			KON		
327.276	0.3	rast			VVFIN		
327.576	0.0	auf			APPR		
327.576	0.2	ein			ART		
327.776	0.5	Football-Feld		geo	NN		
328.276	0.3	auf			APPR		
328.576	0.2	dem			ART		
328.776	0.1	ein			ART		
328.876	0.2	Spiel			NN		
329.076	0.3	stattfindet			VVFIN		
329.376	2.4	ein			ART		
331.776	0.3	Quarterback		male	NN		
332.076	0.4	wirft			VVFIN		
332.476	0.2	einen			ART		
332.676	0.2	Pass			NN		
332.876	0.4	sein			PPOSAT		
333.276	0.2	Coach		male	NN		
333.476	0.3	sieht			VVFIN		
333.776	0.2	zu			PTKVZ		
335.276	1.7	Forrest		mname	NE		
336.976	0.4	überholt			VVFIN		
337.376	0.4	den#Fänger	###		NN		
337.776	0.2	der			PDS		
337.976	0.4	guckt			VVFIN		
338.376	0.1	baff			ADJD		
338.476	0.5	und			KON		
338.976	0.1	wird			VAFIN		
339.076	0.1	vom			APPRART		
339.176	0.3	Gegner		person	NN		
339.476	0.3	umgerannt			VVPP		
339.776	0.2	der			ART		
339.976	1.5	Coach		male	NN		
341.476	0.2	und			KON		
341.676	0.1	seine			PPOSAT		
341.776	0.5	Assistenten		males	NN		
342.276	0.4	glotzen			VVFIN		
342.676	0.4	Forrest		mname	NE		
343.076	0.2	nach			PTKVZ		
343.276	13.2	in			APPR		
356.476	0.2	einem			ART		
356.676	0.3	vollen			ADJA		
356.976	0.6	Football-Stadion		setting_new	NN		
357.576	0.8	Forrest		mname	NE		
358.376	0.2	als			APPR		
358.576	0.3	Spieler			NN		
358.876	0.4	träumt			VVFIN		
359.276	0.1	vor			APPR		
359.376	0.1	sich			PRF		
359.476	0.2	hin			ADV		
359.676	0.4	ein			ART		
360.076	0.3	Mitspieler		male	NN		
360.376	0.4	läuft			VVFIN		
360.776	0.1	mit			APPR		
360.876	0.1	dem			ART		
360.976	0.2	Ball		object	NN		
361.176	0.2	zu			APPR		
361.376	7.1	ihm			PPER		
368.476	0.3	Forrest		mname	NE		
368.776	0.1	hängt			VVFIN		
368.876	0.6	mehrere			PIAT		
369.476	0.3	Gegner		males	NN		
371.276	4.0	in			APPR		
375.276	0.2	einem			ART		
375.476	0.9	Bühnenblock		geo	NN		
376.376	0.1	formen			VVFIN		
376.476	0.1	die			ART		
376.576	0.4	Zuschauer		persons	NN		
376.976	0.3	mit			APPR		
377.276	0.3	roten			ADJA		
377.576	0.4	Tafeln		object	NN		
377.976	0.1	die			ART		
378.076	0.6	Worte#Go	###		###		
378.676	0.8	Alabama			NE		
379.476	0.3	der			ART		
379.776	0.2	Coach		male	NN		
379.976	2.7	einem			ART		
382.676	0.9	Gegner		male	NN		
383.576	0.1	aus			PTKVZ		
383.676	0.5	der			PDS		
384.176	0.2	stößt			VVFIN		
384.376	0.2	mit			APPR		
384.576	0.2	einem			ART		
384.776	0.2	Mitspieler		male	NN		
384.976	0.6	zusammen			PTKVZ		
385.576	0.8	Forrest		mname	NE		
386.376	0.2	rennt			VVFIN		
386.576	0.1	zur			APPRART		
386.676	0.5	Seitenlinie		roomgeo	NN		
387.176	1.3	Er#biegt	###		VVFIN		
388.476	0.4	Richtung					
388.876	0.6	Touchdown-Linie		roomgeo	NN		
389.476	0.3	ab			PTKVZ		
389.776	0.4	Zwei			CARD		
390.176	0.3	Gegner		males	NN		
390.476	0.3	hech#t	###		###		
390.776	0.2	n#ebe#n	###		###		
390.976	0.4	vergeblich			ADJD		
391.376	0.1	nach			PTKVZ		
391.476	1.7	Forrest		mname	NE		
393.176	0.4	durchquert			VVFIN		
393.576	0.1	die			ART		
393.676	0.6	Touchdown-Zone		roomgeo	NN		
394.276	0.6	rennt			VVFIN		
394.876	0.1	Musiker		persons	NN		
394.976	0.4	einer			ART		
395.376	0.3	Kapelle			NN		
395.676	0.3	um			PTKVZ		
395.976	0.8	und			KON		
396.776	0.5	mit			APPR		
397.276	0.1	dem			ART		
397.376	0.2	Ball		object	NN		
397.576	0.2	durch			APPR		
397.776	0.0	ein			ART		
397.776	0.6	Stadion-Tor		roomgeo	NN		
398.376	0.2	hinaus			PTKVZ		
398.576	8.5	es			PPER		
407.087	0.1	ist			VAFIN		
407.187	0.4	dunkel		time	ADJD		
407.587	0.8	im			APPRART		
408.387	0.5	strömenden			ADJA		
408.887	0.3	Regen			NN		
409.187	0.3	sitzt			VVFIN		
409.487	0.2	vor			APPR		
409.687	0.4	einem			ART		
410.087	0.4	Hauseingang		setting_new		NN	
410.487	0.4	und			KON		
410.887	0.4	hält			VVFIN		
411.287	0.2	eine			ART		
